Feature,mean,std
swta_dmn_roi_mean,0.03804306973684211,0.002548379670922637
swta_comp_roi_mean,0.03406109226315789,0.0027035027200692173
swta_prod_roi_mean,0.03052276463157895,0.00205494544041061
swta_prod_roi_std,0.024714164684210525,0.0016898591389315411
swta_comp_roi__swta_prod_roi_max_xcorr,0.017832255631578947,0.0011125195935862183
swta_comp_roi_zcr,0.01750718202631579,0.003916619385617378
swta_dmn_roi_std,0.017214821684210527,0.0009177380503745822
swta_comp_roi_mobility,0.016694249368421052,0.0008460001002686567
swta_dmn_roi_slope,0.016649624000000002,0.0009841872514954777
swta_prod_roi_kurtosis,0.016526828631578946,0.0008152522595216374
swta_prod_roi_mobility,0.016259581552631578,0.0012232022715019943
swta_comp_roi_std,0.01622105352631579,0.0008298420124624368
swta_comp_roi__swta_dmn_roi_max_xcorr,0.015947592368421054,0.0007404536310142894
swta_dmn_roi_entropy,0.015471797157894736,0.0011183762127953516
swta_comp_roi_skew,0.015438923894736842,0.0013526712491734396
swta_dmn_roi_kurtosis,0.015432296631578947,0.0008486946978964198
swta_dmn_roi__swta_prod_roi_coherence,0.015359742000000001,0.0007370381445386657
swta_comp_roi_slope_changes,0.015209893921052632,0.0011664895088501445
swta_prod_roi_autocorr,0.01518052647368421,0.00103264045044054
swta_prod_roi_min,0.015046883736842103,0.0013579416837836205
swta_prod_roi_skew,0.014970437789473686,0.0012875379215126737
swta_comp_roi_diff2_mean,0.014696945315789472,0.0008801672506671703
swta_dmn_roi__swta_prod_roi_max_xcorr,0.014693144236842105,0.0009224297785165362
swta_dmn_roi_max,0.014551799315789473,0.0007898112082793228
swta_comp_roi__swta_prod_roi_coherence,0.014473779105263157,0.0013581773546519741
swta_prod_roi_complexity,0.014395917815789475,0.0009518463110380123
swta_dmn_roi_autocorr,0.014383273394736842,0.0011784502171578474
swta_dmn_roi_peak_freq,0.014366303368421053,0.003007785726032639
swta_comp_roi_range,0.014359599052631579,0.0012052233211409167
swta_prod_roi_max,0.014313385710526316,0.0010993432562886917
swta_dmn_roi_diff_mean,0.014311941763157894,0.001182698501295241
swta_dmn_roi_fft_mean,0.014297385394736841,0.0011020349720107143
swta_dmn_roi_skew,0.014280272684210527,0.0006868556199506439
swta_dmn_roi_min,0.014244568,0.001203398515217435
swta_prod_roi_diff_mean,0.014238239236842105,0.0010539242973340477
swta_prod_roi_slope,0.014227987157894736,0.0009964090064116082
swta_comp_roi_autocorr,0.014139723631578949,0.0010769172414800607
swta_comp_roi_diff_mean,0.014065608000000002,0.0007055674281219807
swta_comp_roi_kurtosis,0.013945747315789472,0.0007482467036146755
swta_comp_roi_intercept,0.013942562342105263,0.0033209377831716286
swta_dmn_roi_zcr,0.013762864631578947,0.0024409297064999233
swta_prod_roi_fft_mean,0.0137524585,0.0006756455635280522
swta_comp_roi_min,0.013744991842105264,0.0008567386533945014
swta_dmn_roi_mobility,0.013695027894736844,0.001624989173019423
swta_dmn_roi_range,0.013633585236842105,0.0009090567374332826
swta_dmn_roi_complexity,0.013631937552631578,0.0007390084425273445
swta_comp_roi_entropy,0.013573079342105263,0.0008906124813843941
swta_prod_roi_zcr,0.013478794263157895,0.002206966550329883
swta_comp_roi__swta_dmn_roi_coherence,0.01328851444736842,0.000883187868641144
swta_dmn_roi_diff2_mean,0.013202826157894736,0.0008274422875492933
swta_comp_roi_slope,0.013067567552631578,0.001244845786287814
swta_dmn_roi_slope_changes,0.012925500368421054,0.0014787020797815003
swta_comp_roi_max,0.012700129263157894,0.0009818905248134334
swta_prod_roi_intercept,0.012523049578947367,0.0023929529926602785
swta_comp_roi_fft_mean,0.012503702684210527,0.0010444935994765893
swta_dmn_roi_intercept,0.012409559342105263,0.0019641820769315155
swta_comp_roi_peak_freq,0.012384048726315789,0.002641805388531259
swta_prod_roi_peak_freq,0.012365313078947369,0.0016673308509575705
swta_prod_roi_range,0.012351614078947368,0.0006995520151316342
swta_prod_roi_diff2_mean,0.012072805657894736,0.0007739117165027798
swta_comp_roi_complexity,0.011477489447368422,0.0009498967974859876
swta_dmn_roi_fft_std,0.011475459631578947,0.002670541450002648
swta_comp_roi_fft_std,0.011338350778947369,0.0030216654063704254
swta_prod_roi_slope_changes,0.011162767578947368,0.0010232070127002822
swta_prod_roi_entropy,0.011027859342105263,0.0013642540948050662
swta_prod_roi_fft_std,0.010217733210526317,0.0010583056363300896
swta_prod_roi_fft_power,0.0,0.0
swta_dmn_roi_energy,0.0,0.0
swta_comp_roi_fft_power,0.0,0.0
swta_dmn_roi_fft_power,0.0,0.0
swta_prod_roi_energy,0.0,0.0
swta_comp_roi_energy,0.0,0.0
