Feature,Importance
mean_duration_comprehension,0.06675949
swta_f_22,0.038507678
gap_before_mean_comprehension,0.02369506
comp_prod_f_38,0.017861297
swta_f_33,0.0151195
comp_prod_f_16,0.014704214
duration_comprehension,0.013845483
max_duration_production,0.013678292
swta_f_55,0.0127001945
swta_f_60,0.012106987
max_duration_comprehension,0.01175716
comp_prod_f_55,0.0111899655
comp_prod_f_22,0.010696516
swta_f_25,0.0105814235
duration_production,0.01033765
comp_prod_f_13,0.010275402
swta_f_47,0.009992535
min_duration_gap_p2c,0.009120147
duration_pause_p,0.008903995
median_duration_comprehension,0.008541844
swta_f_24,0.008173195
comp_prod_f_47,0.008035535
gap_before_std_comprehension,0.007823492
std_duration_comprehension,0.007714275
swta_f_38,0.0075061047
swta_f_35,0.0074762767
comp_prod_f_60,0.0072053904
swta_f_16,0.0071182693
swta_f_44,0.007000736
comp_prod_f_25,0.0069882246
mean_duration_pause_c,0.006932675
median_duration_gap_c2p,0.006834096
comp_prod_f_0,0.0066623306
comp_prod_f_44,0.0066302554
comp_prod_f_3,0.0065506985
count_comprehension,0.006466293
mean_duration_production,0.006430727
std_duration_gap_p2c,0.006411541
median_duration_production,0.006311817
max_duration_pause_p,0.0062441668
min_duration_comprehension,0.0061583463
swta_f_10,0.006112806
min_duration_production,0.005959172
std_duration_pause_p,0.0058929864
median_duration_gap_p2c,0.0058852783
comp_prod_f_24,0.005868074
swta_f_32,0.0058020367
swta_f_0,0.0057557877
comp_prod_f_35,0.0056176116
count_gap_c2p,0.0054332656
gap_before_std_pause_p,0.0053775366
comp_prod_f_33,0.0053206556
comp_prod_f_46,0.005290788
swta_f_2,0.005237174
swta_f_11,0.0050826925
comp_prod_f_59,0.0049956823
gap_before_mean_pause_c,0.004874973
swta_f_41,0.004830706
swta_f_42,0.0047509256
comp_prod_f_32,0.004728331
min_duration_pause_c,0.004724576
median_duration_pause_c,0.0046900483
count_pause_c,0.004681856
swta_f_3,0.0046555875
swta_f_54,0.0046333466
comp_prod_f_41,0.0046040136
median_duration_pause_p,0.004566219
comp_prod_f_2,0.0045639602
gap_before_mean_gap_c2p,0.0045232363
comp_prod_f_11,0.0045091193
swta_f_59,0.0045050117
comp_prod_f_53,0.004490165
max_duration_pause_c,0.0044825207
comp_prod_f_50,0.004428831
std_duration_production,0.0043612462
comp_prod_f_15,0.004349606
comp_prod_f_18,0.004344997
mean_duration_gap_c2p,0.004310439
swta_f_15,0.004295031
swta_f_4,0.0042803795
swta_f_46,0.004195798
mean_duration_gap_p2c,0.0041725268
comp_prod_f_4,0.004142034
gap_before_mean_pause_p,0.004129561
mean_duration_pause_p,0.0040771137
gap_before_mean_gap_p2c,0.004046278
std_duration_gap_c2p,0.0040419125
swta_f_37,0.0040306603
comp_prod_f_36,0.00396838
swta_f_20,0.0039658337
duration_gap_c2p,0.003955284
comp_prod_f_23,0.003951967
comp_prod_f_40,0.0039094565
swta_f_36,0.0038840217
swta_f_63,0.0038676106
comp_prod_f_7,0.0038442635
min_duration_pause_p,0.0038175713
std_duration_pause_c,0.0038104441
comp_prod_f_31,0.00378711
swta_f_43,0.0037533452
swta_f_45,0.0037301867
min_duration_gap_c2p,0.0037031283
max_duration_gap_p2c,0.0036978065
swta_f_48,0.0036940505
count_pause_p,0.0036235023
comp_prod_f_29,0.0035969603
swta_f_53,0.0035742607
swta_f_62,0.0035679194
swta_f_31,0.0035465644
count_production,0.0035453702
duration_pause_c,0.0035251824
swta_f_1,0.0035041608
comp_prod_f_49,0.0034836992
swta_f_30,0.0034821571
comp_prod_f_21,0.0034729352
comp_prod_f_14,0.0034702525
swta_f_49,0.0034621388
comp_prod_f_9,0.0034596573
swta_f_28,0.00343171
comp_prod_f_20,0.0034281278
swta_f_51,0.0034261146
comp_prod_f_48,0.0034083154
count_gap_p2c,0.0033932177
comp_prod_f_37,0.0033930712
swta_f_56,0.003389134
swta_f_26,0.003381819
comp_prod_f_56,0.0033730657
swta_f_29,0.0033619727
comp_prod_f_19,0.003361218
comp_prod_f_54,0.0033603425
swta_f_13,0.003343541
duration_gap_p2c,0.0033396396
swta_f_14,0.0033306845
swta_f_52,0.003314851
comp_prod_f_10,0.003308354
comp_prod_f_34,0.0033067265
swta_f_23,0.00329807
gap_before_std_production,0.0032906996
comp_prod_f_64,0.0032867028
swta_f_7,0.0032687
gap_before_mean_production,0.0032592216
comp_prod_f_57,0.003242898
swta_f_27,0.003238339
comp_prod_f_52,0.0032057404
comp_prod_f_8,0.0031812424
gap_before_std_pause_c,0.0031750454
comp_prod_f_51,0.0031472675
comp_prod_f_27,0.003136262
comp_prod_f_62,0.0031332064
comp_prod_f_5,0.0031319647
swta_f_57,0.003118353
swta_f_5,0.0031100605
comp_prod_f_43,0.003107845
swta_f_64,0.0030973575
swta_f_50,0.003085563
comp_prod_f_26,0.0030663544
swta_f_34,0.0030604098
swta_f_21,0.0030556442
swta_f_12,0.0030526568
comp_prod_f_65,0.0030259422
max_duration_gap_c2p,0.003023968
comp_prod_f_45,0.0030180258
swta_f_9,0.0030082078
swta_f_8,0.0029927169
swta_f_65,0.0029700696
comp_prod_f_6,0.0029268074
comp_prod_f_42,0.0029184541
swta_f_58,0.0029029872
comp_prod_f_30,0.0028958262
comp_prod_f_12,0.0028260304
comp_prod_f_28,0.002799397
swta_f_19,0.00278055
comp_prod_f_63,0.0027554608
comp_prod_f_58,0.002719718
comp_prod_f_1,0.002704881
swta_f_6,0.0025227964
swta_f_40,0.0024155823
swta_f_18,0.0020340383
proportion_time_pause_p,0.0
proportion_time_gap_c2p,0.0
swta_f_61,0.0
swta_f_17,0.0
comp_prod_f_61,0.0
rate_production,0.0
proportion_time_production,0.0
comp_prod_f_17,0.0
swta_f_39,0.0
rate_gap_c2p,0.0
rate_pause_p,0.0
gap_before_std_gap_p2c,0.0
proportion_time_gap_p2c,0.0
rate_gap_p2c,0.0
proportion_time_pause_c,0.0
rate_comprehension,0.0
comp_prod_f_39,0.0
rate_pause_c,0.0
proportion_time_comprehension,0.0
gap_before_std_gap_c2p,0.0
