Feature,Importance
mean_duration_comprehension,0.15263322
median_duration_comprehension,0.09096846
duration_comprehension,0.044622242
gap_before_mean_comprehension,0.03088032
duration_production,0.030289501
min_duration_gap_p2c,0.027902815
count_gap_c2p,0.024965987
max_duration_comprehension,0.022578139
min_duration_gap_c2p,0.022471495
median_duration_gap_p2c,0.019539617
mean_duration_gap_p2c,0.01868639
mean_duration_pause_c,0.018629814
max_duration_production,0.018298553
median_duration_gap_c2p,0.01821896
count_gap_p2c,0.016401328
count_comprehension,0.015553515
min_duration_comprehension,0.0154683385
duration_pause_p,0.015231202
median_duration_production,0.015110938
median_duration_pause_c,0.014544727
max_duration_pause_p,0.013512933
max_duration_gap_p2c,0.013415183
gap_before_mean_pause_c,0.013308882
std_duration_comprehension,0.013096301
max_duration_gap_c2p,0.012864686
duration_gap_c2p,0.012823851
count_pause_p,0.012648903
min_duration_pause_c,0.012597333
max_duration_pause_c,0.0125055555
mean_duration_production,0.012270422
std_duration_production,0.012255537
std_duration_pause_p,0.011531835
mean_duration_gap_c2p,0.01152914
gap_before_mean_gap_c2p,0.01135134
gap_before_std_pause_p,0.010930845
min_duration_production,0.010753306
median_duration_pause_p,0.01073442
mean_duration_pause_p,0.010508109
std_duration_gap_c2p,0.010484903
gap_before_mean_production,0.010170314
duration_pause_c,0.010128191
min_duration_pause_p,0.0100958925
gap_before_std_production,0.010036908
gap_before_std_comprehension,0.010005805
gap_before_mean_pause_p,0.010005166
duration_gap_p2c,0.009776395
count_production,0.009588389
std_duration_pause_c,0.009443556
gap_before_std_pause_c,0.009385756
std_duration_gap_p2c,0.009309928
gap_before_mean_gap_p2c,0.009020897
count_pause_c,0.008430263
gap_before_std_gap_c2p,0.007889959
gap_before_std_gap_p2c,0.0045934804
proportion_time_gap_p2c,0.0
rate_gap_p2c,0.0
proportion_time_pause_c,0.0
rate_pause_c,0.0
proportion_time_pause_p,0.0
rate_pause_p,0.0
proportion_time_comprehension,0.0
rate_comprehension,0.0
proportion_time_production,0.0
rate_gap_c2p,0.0
proportion_time_gap_c2p,0.0
rate_production,0.0
