transcription,start_time,end_time
hej,0:0:0.0,0:0:0.800000
 det är jag som är Caroline,0:0:2.900000,0:0:4.500000
 Jag har inte fått ta del av dilemma.,0:0:6.500000,0:0:11.100000
 Skulle du vilja dela det med mig?,0:0:12.400000,0:0:14.400000
 berätta,0:0:15.200000,0:0:16.400000
 Ja det kanske de har,0:0:58.500000,0:1:0.200000
 Det var längesen jag såg det.,0:1:3.500000,0:1:5.800000
Jo absolut,0:1:42.300000,0:1:43.300000
"Ja ja, Nej jag tycker inte heller avsatt. Det låter som en bra idé.",0:2:37.200000,0:2:40.900000
Ja.,0:3:47.800000,0:3:49.300000
 Jag håller med,0:4:0.400000,0:4:1.600000
Ja verkligen,0:5:19.700000,0:5:21.800000
 Ja.,0:5:23.700000,0:5:23.700000
nej,0:6:50.100000,0:6:52.400000
kanske,0:7:21.100000,0:7:22.100000
 Ja.,0:7:36.700000,0:7:36.700000
 absolut,0:8:4.200000,0:8:5.500000
jag hade nog jag också,0:8:43.100000,0:8:45.600000
