start_time,end_time,transcription
0.3,0.8,"hej hej"
2.7,3.1,mhm
7.8,8.6,"att vadå?"
11,11.8,ja
12.4,12.9,haha
16.9,18.2,"ja på på vilket sätt?"
23.4,24.4,"ja just det ja"
27.7,28.2,ja
30.6,32.9,"jag kan tänka mig att man också glömmer bort det ganska lätt"
34.4,35.5,"att man glömmer bort"
35.7,36.9,"att man inte får röra sig"
38.1,38.5,eller?
42,42.3,ja
45.5,45.8,nej
52.1,52.9,"jaha okej"
57.3,57.6,ja
61,61.6,mhm
65.5,66.7,"mhm mhm"
68.6,69.2,okej
70.2,72.7,"psykiska sjukdomar bara eller är det liksom"
74.3,75.2,"okej mhm"
77.8,78.3,mhm
78.6,80.5,haha
84.3,84.7,ja
87.7,88.6,eh
89.3,90.8,"oj ja"
91,92.2,"jag hade tyckt att"
92.6,94.8,"det vore lite konstigt"
95.2,96.1,"om eh"
96.5,106.8,"eh personen som jag inte kände liksom och jag skulle gå på dejt med första gången bad mig göra ett gentest det skulle jag tycka var konstigt å andra sidan om jag ska försöka liksom"
107.5,112.6,"ta ett lite mer utzoomat perspektiv då ehm"
113.1,115.7,"förstår jag kanske varför vissa"
116.1,116.7,liksom
117.8,120.2,"väldigt unga liksom vissa ehm"
120.8,132.3,"få fall där det faktiskt skulle vara relevant haha eh och kanske att jag till om med skulle tycka att det vore okej typ ja men låt dem det då om dem om dem så gärna vill det typ"
133.2,133.7,"du då?"
137.1,140,"nej men jag tänker till exempel om man eh"
140.4,142.3,"eh om man vet så här okej"
142.5,147.6,"nästa person jag dejtar seriöst eller såhär jag orkar inte dejta någon om inte det är någon som jag"
148,150.5,"hundra procent ska skaffa barn med till exempel"
151.2,153.8,"och eh då kanske den personen har ehm"
154.7,163.9,"alltså jag vet det bara själv för att jag själv har en en blodsjukdom där den som jag skaffar barn med inte får ha samma sjukdom liksom så om man på om man om man på det om man liksom så"
164.5,165.4,eh
166.1,171.8,"skulle känna såhär okej men jag vill bara vara säker på att den här personen inte har den här sjukdomen för ja innan jag investerar mig typ"
172.4,174.8,"men det är lite extremt med just första dejten"
180.6,182.3,"nej haha nej"
183.7,190.6,"om det inte vore en app där eh där det liksom var som en inbyggd funktion där alla som gick med i den appen typ vill"
191,191.7,"gick med på det"
192.1,192.7,"på något sätt"
196.4,196.7,"ja haha"
200.5,200.9,mhm
206.5,206.9,mhm
214,214.6,"just det ja"
216.2,219.4,"just det ja hade du hade du eh gått med i den"
219.8,220.4,"appen då då?"
230.3,230.9,"just det ja"
237.1,237.5,mhm
241.9,242.6,"ja just det ja"
246.9,247.9,"just det haha"
261.1,261.9,"just det ja"
264.7,265.2,mhm
269.2,269.7,mhm
275.9,276.5,mhm
276.7,277.2,mhm
278.4,279,"just det ja"
286.4,286.8,ja
289.7,290.1,ja
300.2,300.7,nej
302.9,312.4,"nej just det man man kan få lite såhär å den här personen ger mig creeps eller den här personen är lite off men jag har svårt att sätta fingret på det liksom ja mhm"
314.3,314.8,mhm
322.2,322.8,mhm
323.7,324.6,ja
325.4,330.3,"just det ja ja samtidigt blir det jättekonstigt att göra det efter en dejt haha"
331.5,334.6,"såhär jag vet inte bara att det liksom"
335.1,339.8,"ja jag kan tänka mig att fortsätta dejta dig men jag vill ha dna-test bara för att dubbelkolla att du inte"
341.5,342.2,"är weird"
343.8,347.6,"haha just det ja de där nervösa ticksen du hade"
348.1,349.4,mhm
352.2,353,"just det"
354.5,355.8,haha
358.3,358.8,ja
367.3,368.3,nej
368.7,369.5,nej
374,374.7,ja
375.5,376.2,ja
380.7,381.6,"just ja"
382.3,393.6,"och eh jag antar att alla har ju anlag för något och eh det är väl liksom en eh möjlig samtalspunkt då under dejten eh haha man kan ju fråga liksom"
394,394.6,ja
396,396.6,mhm
408.2,408.5,ja
414,414.8,"nej just det"
420.5,422.2,"mhm mhm"
426.4,427,mhm
428,437.7,"ja men eh men det här det här den här sjukdomen som jag har den är ärftlig och min pappa har ju samma sjukdom och han gjorde ju ett test innan han skaffade barn liksom"
438.7,442.4,"så att det är vad man gör men eh okej"
442.8,448.1,"men om vi ska försöka komma på någonting mer som vore kanske"
448.5,450.5,"någon fördel med det här"
452,452.5,eh
458.5,459.1,mhm
470.6,471.2,mhm
475.3,476,mhm
486.8,487.4,mhm
492.2,492.7,mhm
494.5,496.2,"det låter ju som att personen som"
496.7,508,"som vill att man ska ta de här testerna själv kanske är lite neurotisk haha så att den kanske skulle kunna ha någonting och kanske inte vill då sprida vidare jag vet inte"
508.6,509,haha
516.8,517.3,nej
520.2,522.3,"känns också lite farligt om eh"
524.3,548.4,"säg att säg att jag skulle göra det där testet och så visade det sig att jag har anlag för någon psykisk ja men typ såhär eh borderline eller bipolaritet eller någonting och så ehm så eh hamnar man i bråk med personen för att man börjat dejta seriöst någon gång och då så kanske de vänder den här eh vänder det emot en"
550,551.1,"förstår du vad jag menar?"
553.1,562.4,"någon kanske börjar förklara ens beteende utifrån den här det här dna-testet resultatet på dna-testet fastän att det eh egentligen inte nödvändigtvis behöver stämma"
567.3,567.7,mhm
570.5,571.2,mhm
573,573.7,mhm
583.3,584.7,"mhm hur menar du då?"
589.6,590.2,mhm
590.9,591.7,mhm
595.705,596.885,"mhm mhm"
