start_time,end_time,transcription
1,1.5,hej
4,4.8,hade
6,9.1,"nästa scenario då"
9.9,11.2,[inaudible]
11.7,12.1,att
12.9,15.7,"familjemedlemmar ska kunna spåra varandra"
16.1,17.1,"liksom vad"
17.5,23.3,"jamen vad man gör å då är det ett läge där föräldrar redan har en spårningsapp där man kan följa"
23.9,32.7,"med barns aktiviteter och fråga är ifall vi ska ha mot företaget vill släppa motsvarande version där barn kan följa vad deras föräldrar gör"
36.8,38.7,"alltså man kan ju"
40,42.3,"jag vet inte alltså man kan ju följa"
42.9,44.5,"var folk befinner sig"
49.4,51.2,"snapchat kommer göra det"
51.5,55.2,"jag tror att det finns andra varianter också att jag har en"
56.4,62.8,"yngre halvsyster som jag vet har blivit trackad via sin mobil och gjorde en av sina tonår"
63,64.5,"eh av mamma"
64.7,65.3,ja
65.9,66.5,eh
66.8,69,"och det har väl funnits en poäng med det"
71,72.4,"eh men"
73.3,79.1,"jag vet inte jag ställde mig väldigt negativ här och jag vet inte om jag är för"
80.6,88,"jag tycker om jag tycker att det här är obehagligt jag tycker lite att det här är liksom inte riktigt ett sätt att lära sig kommunicera på"
88.3,88.7,alltså
90.2,98.5,"det här är inte jag tycker inte att barn ska behöva bli trackade av sina föräldrar jag tycker att man måste kunna lära sig att berätta vad man är och vad man gör"
99.2,103.3,"och samtidigt som som någon mån någon mån utav"
103.7,104.5,liksom
107.8,109.6,"jag vet inte"
110.1,113.9,"barn kommer också göra saker som deras föräldrar inte vet om"
115.1,115.7,och
117.5,119.9,"men det är ju så jag tänkte liksom"
120.2,129.5,"ändå någon typ utav värld där det inte till alltså inte tillåts obviously är det ju tillåtet men liksom där man inte har möjligheten att utveckla"
130.5,138,"som att man liksom på något sätt begränsar utvecklingen av att bli en en en riktig person ifall man ska vara övervakad hela tiden"
144.4,155.8,"jag tyckte väl kanske därför gud det hände så mycket när hon var ung som gjorde att jag verkligen förstår poängen med det här för det var ganska strulit på många sätt och hon hade också ganska dåligt sällskap"
156.5,158.9,"problemet är väl att de gångerna som de"
159.8,165.9,"användes där det var såhär ja men du sa att du var hemma hos den här personen men du befann dig på"
166.7,167.4,"på en"
167.7,170.2,"mack ute i nacka varför gjorde du det?"
172.4,179.9,"nej men jag tänker också och det det enda som hände där var ju att hon började lämna sin mobil hemma när hon drog iväg"
181.8,193.4,"och då blev jag också lite såhär ja okej nu vill ju hon inte dela med sig vad gör alls så de har ju heller lagt sin mobil i en plåtlåda någonstans för att ni har liksom dragit ner kortet mot henne som det faktiskt skulle hända något"
193.8,196.1,"så skulle hon inte har mobil på sig och kunna ringa"
198,199.7,"det är ju faktiskt ännu värre för då"
