Feature,Importance
swta_prod_roi_mean,0.095603116
swta_dmn_roi_mean,0.08191445
swta_dmn_roi_energy,0.053070754
swta_dmn_roi_fft_std,0.043701988
swta_prod_roi_fft_std,0.041250765
swta_prod_roi_energy,0.028032053
swta_prod_roi_zcr,0.025076373
swta_dmn_roi_max,0.021243984
swta_dmn_roi_min,0.020588031
swta_prod_roi_max,0.01912465
swta_prod_roi_min,0.016087301
swta_comp_roi_fft_std,0.014744726
swta_comp_roi_mean,0.014342455
swta_comp_roi_max,0.0129488865
lag1_corr_swta_dmn_roi_vs_swta_prod_roi,0.012862776
swta_prod_roi_range,0.012198554
swta_comp_roi_min,0.012142288
swta_dmn_roi_std,0.011839602
swta_comp_roi_zcr,0.011755357
swta_dmn_roi_mobility,0.0117406845
swta_prod_roi_fft_mean,0.011558196
swta_prod_roi_intercept,0.01152886
swta_dmn_roi_autocorr,0.01145928
swta_comp_roi_std,0.011244676
swta_comp_roi_energy,0.010302768
swta_comp_roi_intercept,0.01020942
corr_swta_comp_roi_vs_swta_dmn_roi,0.0101879975
swta_prod_roi_std,0.010002165
swta_dmn_roi_range,0.009625191
swta_comp_roi_diff2_mean,0.009391338
swta_comp_roi_autocorr,0.009096136
swta_dmn_roi_intercept,0.009038538
swta_dmn_roi_zcr,0.008889674
swta_dmn_roi_fft_mean,0.00885882
lag1_corr_swta_comp_roi_vs_swta_dmn_roi,0.008821
swta_comp_roi_mobility,0.008654006
swta_dmn_roi_slope_changes,0.00864896
swta_comp_roi_kurtosis,0.008458701
lag1_corr_swta_comp_roi_vs_swta_prod_roi,0.008428112
lag2_corr_swta_dmn_roi_vs_swta_prod_roi,0.0083380835
swta_prod_roi_slope,0.008274296
corr_swta_comp_roi_vs_swta_prod_roi,0.008237292
swta_dmn_roi_diff2_mean,0.0081828395
swta_prod_roi_peak_freq,0.008169865
swta_prod_roi_mobility,0.0080679525
swta_prod_roi_autocorr,0.0079295
lag3_corr_swta_dmn_roi_vs_swta_prod_roi,0.00789838
swta_prod_roi_diff2_mean,0.007896828
swta_comp_roi_fft_mean,0.007852483
swta_dmn_roi_slope,0.007731322
swta_prod_roi_skew,0.007713478
swta_comp_roi_skew,0.0076884436
lag2_corr_swta_comp_roi_vs_swta_dmn_roi,0.007602063
swta_prod_roi_complexity,0.007583358
swta_prod_roi_kurtosis,0.0075103464
swta_comp_roi_range,0.0074381568
lag3_corr_swta_comp_roi_vs_swta_dmn_roi,0.0072485674
swta_dmn_roi_complexity,0.007194512
swta_comp_roi_entropy,0.0071892035
swta_comp_roi_slope_changes,0.007117524
lag2_corr_swta_comp_roi_vs_swta_prod_roi,0.0070906375
swta_comp_roi_slope,0.007079757
swta_dmn_roi_diff_mean,0.006848063
swta_dmn_roi_entropy,0.0067140576
swta_dmn_roi_skew,0.0066924607
corr_swta_dmn_roi_vs_swta_prod_roi,0.006502209
swta_comp_roi_complexity,0.006436117
swta_dmn_roi_kurtosis,0.0062813503
swta_prod_roi_diff_mean,0.0060106986
swta_comp_roi_diff_mean,0.005934574
lag3_corr_swta_comp_roi_vs_swta_prod_roi,0.00581373
swta_prod_roi_entropy,0.005766746
swta_comp_roi_peak_freq,0.00541906
swta_prod_roi_slope_changes,0.0050868234
swta_dmn_roi_peak_freq,0.0047865426
swta_comp_roi_fft_power,0.0
swta_prod_roi_fft_power,0.0
swta_dmn_roi_fft_power,0.0
