Feature,Importance
dmn_medial_tpj_mean,0.087449595
prod_vs_comp_combined_mean,0.067678206
prod_vs_comp_combined_energy,0.064540416
dmn_medial_tpj_fft_std,0.05553879
dmn_medial_tpj_energy,0.03867273
dmn_medial_tpj_min,0.025694778
comp_vs_prod_combined_fft_std,0.024956735
comp_vs_prod_combined_zcr,0.024940986
dmn_medial_tpj_max,0.021697761
prod_vs_comp_combined_fft_std,0.019825649
prod_vs_comp_combined_max,0.019197568
prod_vs_comp_combined_min,0.01806585
comp_vs_prod_combined_mean,0.01574318
dmn_medial_tpj_mobility,0.013843828
prod_vs_comp_combined_intercept,0.0135365
comp_vs_prod_combined_min,0.0126938205
dmn_medial_tpj_fft_mean,0.012230743
comp_vs_prod_combined_max,0.011721005
corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.011460872
dmn_medial_tpj_zcr,0.011083973
dmn_medial_tpj_autocorr,0.010520458
lag1_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.010254349
prod_vs_comp_combined_range,0.009606773
dmn_medial_tpj_intercept,0.009482876
prod_vs_comp_combined_fft_mean,0.009298394
dmn_medial_tpj_std,0.009268814
lag1_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.009187349
dmn_medial_tpj_range,0.009126122
dmn_medial_tpj_peak_freq,0.009115268
prod_vs_comp_combined_diff2_mean,0.009111265
prod_vs_comp_combined_complexity,0.008992589
corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.0088541815
comp_vs_prod_combined_slope_changes,0.008806487
prod_vs_comp_combined_diff_mean,0.0087927235
comp_vs_prod_combined_range,0.008739044
comp_vs_prod_combined_autocorr,0.008724997
corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.008651309
lag3_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.008540799
comp_vs_prod_combined_complexity,0.008482459
comp_vs_prod_combined_diff2_mean,0.008440317
comp_vs_prod_combined_slope,0.008369697
comp_vs_prod_combined_intercept,0.008301907
dmn_medial_tpj_complexity,0.0082929935
comp_vs_prod_combined_fft_mean,0.008195091
comp_vs_prod_combined_kurtosis,0.008123169
lag1_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.008107828
dmn_medial_tpj_slope_changes,0.008078543
prod_vs_comp_combined_autocorr,0.008059952
comp_vs_prod_combined_std,0.008050413
prod_vs_comp_combined_std,0.008014221
comp_vs_prod_combined_mobility,0.007951473
prod_vs_comp_combined_skew,0.007757601
lag3_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.0076322076
prod_vs_comp_combined_slope_changes,0.0074376496
prod_vs_comp_combined_kurtosis,0.0074371286
prod_vs_comp_combined_mobility,0.0073943017
lag2_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.007163114
dmn_medial_tpj_diff_mean,0.007161692
dmn_medial_tpj_diff2_mean,0.007085757
lag2_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.007025787
lag2_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.0069801984
prod_vs_comp_combined_slope,0.006957173
prod_vs_comp_combined_peak_freq,0.0068758302
dmn_medial_tpj_skew,0.0068237022
dmn_medial_tpj_slope,0.006732733
comp_vs_prod_combined_skew,0.006639473
comp_vs_prod_combined_diff_mean,0.0065124603
dmn_medial_tpj_kurtosis,0.0064945337
comp_vs_prod_combined_energy,0.006465259
lag3_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.0062987367
comp_vs_prod_combined_entropy,0.005838292
prod_vs_comp_combined_zcr,0.005293088
comp_vs_prod_combined_peak_freq,0.0052182986
dmn_medial_tpj_entropy,0.004349173
prod_vs_comp_combined_entropy,0.0043109115
prod_vs_comp_combined_fft_power,0.0
comp_vs_prod_combined_fft_power,0.0
dmn_medial_tpj_fft_power,0.0
