Feature,Importance
dmn_medial_tpj_mean,0.07795807
prod_vs_comp_combined_mean,0.06417665
prod_vs_comp_combined_energy,0.047296293
dmn_medial_tpj_energy,0.03973933
comp_vs_prod_combined_fft_std,0.03951248
dmn_medial_tpj_fft_std,0.033523418
prod_vs_comp_combined_fft_std,0.02943899
dmn_medial_tpj_max,0.02290045
dmn_medial_tpj_min,0.02058365
prod_vs_comp_combined_max,0.020391913
prod_vs_comp_combined_min,0.019297097
comp_vs_prod_combined_mean,0.016583307
comp_vs_prod_combined_zcr,0.015218574
comp_vs_prod_combined_max,0.013923988
prod_vs_comp_combined_peak_freq,0.012655631
comp_vs_prod_combined_fft_mean,0.011991795
comp_vs_prod_combined_min,0.011924141
dmn_medial_tpj_mobility,0.0117283845
dmn_medial_tpj_range,0.01154695
prod_vs_comp_combined_intercept,0.011271009
comp_vs_prod_combined_intercept,0.011186141
dmn_medial_tpj_autocorr,0.01097452
dmn_medial_tpj_fft_mean,0.010508649
dmn_medial_tpj_std,0.010323895
prod_vs_comp_combined_slope,0.0102612665
comp_vs_prod_combined_energy,0.010241202
dmn_medial_tpj_zcr,0.010187006
lag1_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.009969503
corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.009912152
comp_vs_prod_combined_std,0.009839358
prod_vs_comp_combined_fft_mean,0.0096745975
prod_vs_comp_combined_complexity,0.009630986
dmn_medial_tpj_complexity,0.009329169
dmn_medial_tpj_slope,0.009176901
comp_vs_prod_combined_diff2_mean,0.009151728
corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.009140789
lag1_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.009089501
prod_vs_comp_combined_range,0.009082606
corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.008996177
dmn_medial_tpj_slope_changes,0.008989881
prod_vs_comp_combined_diff2_mean,0.008936286
prod_vs_comp_combined_diff_mean,0.008935242
lag2_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.00892269
lag3_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.008719921
lag1_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.008717013
comp_vs_prod_combined_complexity,0.008706299
comp_vs_prod_combined_slope_changes,0.008683362
prod_vs_comp_combined_std,0.008605291
dmn_medial_tpj_peak_freq,0.008596584
prod_vs_comp_combined_entropy,0.008577695
dmn_medial_tpj_intercept,0.008556927
prod_vs_comp_combined_skew,0.0085242465
comp_vs_prod_combined_range,0.008376387
prod_vs_comp_combined_autocorr,0.008231147
lag2_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.008077984
lag3_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.008074699
prod_vs_comp_combined_kurtosis,0.007899159
comp_vs_prod_combined_slope,0.0078785345
lag2_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.0078416
comp_vs_prod_combined_autocorr,0.0077131195
comp_vs_prod_combined_diff_mean,0.007677859
dmn_medial_tpj_diff_mean,0.0076719327
comp_vs_prod_combined_entropy,0.007552756
dmn_medial_tpj_skew,0.0073656747
prod_vs_comp_combined_mobility,0.0071925325
dmn_medial_tpj_diff2_mean,0.0070775533
comp_vs_prod_combined_mobility,0.0070603583
prod_vs_comp_combined_zcr,0.006996104
comp_vs_prod_combined_kurtosis,0.006973943
lag3_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.0068040756
prod_vs_comp_combined_slope_changes,0.0067741307
dmn_medial_tpj_entropy,0.0066682934
comp_vs_prod_combined_peak_freq,0.006183864
dmn_medial_tpj_kurtosis,0.00617876
comp_vs_prod_combined_skew,0.0059198095
prod_vs_comp_combined_fft_power,0.0
comp_vs_prod_combined_fft_power,0.0
dmn_medial_tpj_fft_power,0.0
