subject_id,run,dilemma,eng_level,condition,,,,eyetracking_start,eyetracking_end
1,1,points_system,low,human,points_system,low,human,99.5027,699.5685
1,2,robot_judges,normal,human,robot_judges,normal,human,107.8737,707.9228
1,3,tracking_app,high,human,tracking_app,high,human,100.0262,700.1083
2,1,dna_dating,high,human,dna_dating,high,human,156.1449,756.2092
2,2,points_system,normal,human,points_system,normal,human,98.5715,698.6363
2,3,robot_judges,low,human,robot_judges,low,human,105.0463,705.1110
3,1,tracking_app,low,human,tracking_app,low,human,99.5027,699.5685
3,2,points_system,normal,human,points_system,normal,human,114.9407,715.0072
3,3,aging_pill,high,human,aging_pill,high,human,146.6383,746.7040
4,1,robot_judges,high,human,robot_judges,high,human,109.9800,710.0620
4,2,aging_pill,normal,human,aging_pill,normal,human,99.5681,699.6176
4,3,points_system,low,human,points_system,low,human,100.4704,700.5364
5,1,tracking_app,high,human,tracking_app,high,human,117.4750,717.5231
5,2,dna_dating,normal,human,dna_dating,normal,human,105.9592,706.0235
5,3,arm_chip,low,human,arm_chip,low,human,111.0872,711.1517
6,1,arm_chip,low,human,arm_chip,low,human,110.8284,710.8758
6,2,aging_pill,normal,human,aging_pill,normal,human,103.1635,703.2284
6,3,tracking_app,high,human,tracking_app,high,human,105.7870,705.8356
7,1,points_system,high,human,points_system,high,human,120.7848,720.8507
7,2,tracking_app,normal,human,tracking_app,normal,human,109.8586,709.9415
7,3,dna_dating,low,human,dna_dating,low,human,106.3499,706.4314
8,1,aging_pill,low,human,aging_pill,low,human,107.4112,707.4604
8,2,robot_judges,normal,human,robot_judges,normal,human,101.7375,701.8026
8,3,arm_chip,high,human,arm_chip,high,human,101.6073,701.6728
9,1,points_system,low,human,,,,,
9,2,dna_dating,normal,human,,,,,
9,3,robot_judges,high,human,,,,,
10,1,aging_pill,high,human,,,,,
10,2,arm_chip,normal,human,,,,,
10,3,tracking_app,low,human,,,,,
11,1,robot_judges,low,human,robot_judges,low,human,105.7414,705.7784
11,2,arm_chip,normal,human,arm_chip,normal,human,102.2778,702.3097
11,3,dna_dating,high,human,dna_dating,high,human,100.9944,701.0451
12,1,arm_chip,high,human,arm_chip,high,human,120.4791,720.5456
12,2,robot_judges,normal,human,robot_judges,normal,human,102.7575,702.8239
12,3,aging_pill,low,human,aging_pill,low,human,137.9176,738.0007
13,1,dna_dating,high,human,dna_dating,high,human,124.4522,724.5182
13,2,points_system,normal,human,points_system,normal,human,127.9537,728.0015
13,3,robot_judges,low,human,robot_judges,low,human,126.4898,726.5643
14,1,points_system,high,human,points_system,high,human,115.7465,715.8191
14,2,tracking_app,normal,human,tracking_app,normal,human,112.9661,713.0287
14,3,dna_dating,low,human,dna_dating,low,human,110.1615,710.2222
15,1,aging_pill,low,human,aging_pill,low,human,111.4094,711.4581
15,2,robot_judges,normal,human,robot_judges,normal,human,107.4961,707.5451
15,3,arm_chip,high,human,arm_chip,high,human,104.7987,704.8523
16,1,tracking_app,low,human,tracking_app,low,human,,
16,2,points_system,normal,human,points_system,normal,human,,
16,3,aging_pill,high,human,aging_pill,high,human,,
17,1,arm_chip,low,human,,,,,
17,2,aging_pill,normal,human,,,,,
17,3,tracking_app,high,human,,,,,
18,1,dna_dating,low,human,dna_dating,low,human,121.8362,721.9020
18,2,tracking_app,normal,human,tracking_app,normal,human,108.9928,709.0584
18,3,points_system,high,human,points_system,high,human,99.8622,699.9278
19,1,robot_judges,high,human,robot_judges,high,human,111.6252,711.6906
19,2,aging_pill,normal,human,aging_pill,normal,human,111.8293,711.8782
19,3,points_system,low,human,points_system,low,human,118.7375,718.7864
20,1,aging_pill,high,human,aging_pill,high,human,129.4824,729.5510
20,2,arm_chip,normal,human,arm_chip,normal,human,106.0786,706.1281
20,3,tracking_app,low,human,tracking_app,low,human,,
21,1,robot_judges,low,human,robot_judges,low,human,114.6093,714.6748
21,2,arm_chip,normal,human,arm_chip,normal,human,129.4824,729.5510
21,3,dna_dating,high,human,dna_dating,high,human,106.0786,706.1281
22,1,arm_chip,high,human,arm_chip,high,human,110.3646,710.4135
22,2,robot_judges,normal,human,robot_judges,normal,human,106.1314,706.1967
22,3,aging_pill,low,human,aging_pill,low,human,104.0970,704.1455
23,1,tracking_app,high,human,tracking_app,high,human,117.3996,717.4659
23,2,dna_dating,normal,human,dna_dating,normal,human,111.0023,711.0706
23,3,arm_chip,low,human,arm_chip,low,human,99.9585,700.0049
24,1,points_system,low,human,points_system,low,human,,
24,2,dna_dating,normal,human,dna_dating,normal,human,,
24,3,robot_judges,high,human,robot_judges,high,human,,
25,1,arm_chip,low,human,arm_chip,low,human,116.1396,716.1943
25,2,aging_pill,normal,human,aging_pill,normal,human,114.4603,714.5260
25,3,tracking_app,high,human,tracking_app,high,human,109.5235,709.5735
26,1,tracking_app,low,human,tracking_app,low,human,,
26,2,points_system,normal,human,points_system,normal,human,,
26,3,aging_pill,high,human,aging_pill,high,human,,
27,1,dna_dating,high,human,dna_dating,high,human,114.9860,715.0359
27,2,points_system,normal,human,points_system,normal,human,108.1631,708.2277
27,3,robot_judges,low,human,robot_judges,low,human,109.4448,709.4973
28,1,robot_judges,low,human,robot_judges,low,human,108.1313,708.1646
28,2,arm_chip,normal,human,arm_chip,normal,human,110.3116,710.3454
28,3,dna_dating,high,human,dna_dating,high,human,108.0781,708.1122
29,1,aging_pill,high,human,aging_pill,high,human,107.5113,707.5610
29,2,arm_chip,normal,human,arm_chip,normal,human,103.2601,703.3109
29,3,tracking_app,low,human,tracking_app,low,human,108.9867,709.0370
30,1,points_system,high,human,points_system,high,human,106.2953,706.3294
30,2,tracking_app,normal,human,tracking_app,normal,human,102.6168,702.6969
30,3,dna_dating,low,human,dna_dating,low,human,101.2127,701.2737
31,1,dna_dating,low,human,dna_dating,low,human,114.0816,714.1287
31,2,tracking_app,normal,human,tracking_app,normal,human,102.4758,702.5335
31,3,points_system,high,human,points_system,high,human,113.0951,713.1445
32,1,aging_pill,low,human,aging_pill,low,human,,
32,2,robot_judges,normal,human,robot_judges,normal,human,,
32,3,arm_chip,high,human,arm_chip,high,human,,
33,1,tracking_app,high,human,tracking_app,high,human,110.0017,710.0682
33,2,dna_dating,normal,human,dna_dating,normal,human,173.5582,773.6078
33,3,arm_chip,low,human,arm_chip,low,human,105.4843,705.5500
34,1,robot_judges,high,robot,robot_judges,high,robot,,
34,2,aging_pill,normal,robot,aging_pill,normal,robot,,
34,3,points_system,low,robot,points_system,low,robot,,
35,1,arm_chip,high,robot,arm_chip,high,robot,,
35,2,robot_judges,normal,robot,robot_judges,normal,robot,,
35,3,aging_pill,low,robot,aging_pill,low,robot,,
36,2,dna_dating,normal,robot,dna_dating,normal,robot,,
36,3,robot_judges,high,robot,robot_judges,high,robot,,
37,1,aging_pill,high,robot,,,,,
37,2,arm_chip,normal,robot,,,,,
37,3,tracking_app,low,robot,,,,,
38,1,arm_chip,low,robot,arm_chip,low,robot,,
38,2,aging_pill,normal,robot,aging_pill,normal,robot,,
38,3,tracking_app,high,robot,tracking_app,high,robot,,
39,1,tracking_app,low,robot,,,,,
39,2,points_system,normal,robot,,,,,
39,3,aging_pill,high,robot,,,,,
40,1,dna_dating,low,robot,dna_dating,low,robot,,
40,2,tracking_app,normal,robot,tracking_app,normal,robot,,
40,3,points_system,high,robot,points_system,high,robot,,
41,1,points_system,high,robot,points_system,high,robot,,
41,2,tracking_app,normal,robot,tracking_app,normal,robot,,
41,3,dna_dating,low,robot,dna_dating,low,robot,,
42,1,tracking_app,high,robot,tracking_app,high,robot,,
42,2,dna_dating,normal,robot,dna_dating,normal,robot,,
42,3,arm_chip,low,robot,arm_chip,low,robot,,
43,1,robot_judges,high,robot,robot_judges,high,robot,,
43,2,aging_pill,normal,robot,aging_pill,normal,robot,,
43,3,points_system,low,robot,points_system,low,robot,,
44,1,points_system,low,robot,points_system,low,robot,,
44,2,dna_dating,normal,robot,dna_dating,normal,robot,,
44,3,robot_judges,high,robot,robot_judges,high,robot,,
45,1,aging_pill,low,robot,aging_pill,low,robot,,
