Feature,Importance
swta_prod_roi_mean,0.07867643
swta_dmn_roi_energy,0.07018962
swta_dmn_roi_mean,0.06781313
swta_dmn_roi_fft_std,0.048057016
swta_prod_roi_energy,0.029528625
swta_prod_roi_fft_std,0.02455033
swta_dmn_roi_min,0.023798885
swta_dmn_roi_max,0.021809027
swta_comp_roi_fft_std,0.021226525
swta_prod_roi_min,0.018990578
swta_prod_roi_max,0.0188864
swta_comp_roi_zcr,0.017076647
swta_comp_roi_mean,0.01680884
swta_comp_roi_max,0.015659492
swta_comp_roi_min,0.014272122
swta_prod_roi_fft_mean,0.014218018
swta_prod_roi_intercept,0.01267312
swta_dmn_roi_autocorr,0.011747707
swta_dmn_roi_mobility,0.011595478
swta_prod_roi_zcr,0.011530653
swta_dmn_roi_range,0.01141931
swta_dmn_roi_std,0.011315902
swta_prod_roi_range,0.011308719
lag1_corr_swta_dmn_roi_vs_swta_prod_roi,0.011103009
corr_swta_comp_roi_vs_swta_dmn_roi,0.010572662
swta_dmn_roi_zcr,0.010308119
swta_comp_roi_std,0.009902515
swta_dmn_roi_intercept,0.009830065
lag1_corr_swta_comp_roi_vs_swta_prod_roi,0.009205714
swta_comp_roi_range,0.009087094
swta_prod_roi_diff2_mean,0.008919047
swta_comp_roi_fft_mean,0.008881566
corr_swta_dmn_roi_vs_swta_prod_roi,0.008872627
swta_prod_roi_autocorr,0.00884363
lag2_corr_swta_dmn_roi_vs_swta_prod_roi,0.008813981
swta_comp_roi_autocorr,0.008716221
swta_prod_roi_mobility,0.008612592
swta_prod_roi_skew,0.008606994
swta_prod_roi_std,0.008561994
swta_comp_roi_intercept,0.008525479
swta_comp_roi_mobility,0.00836074
swta_dmn_roi_fft_mean,0.008302432
swta_dmn_roi_entropy,0.008272808
swta_comp_roi_diff2_mean,0.008246686
swta_prod_roi_entropy,0.008240077
swta_dmn_roi_diff2_mean,0.008217099
lag3_corr_swta_comp_roi_vs_swta_dmn_roi,0.008138023
lag3_corr_swta_dmn_roi_vs_swta_prod_roi,0.008100425
swta_comp_roi_skew,0.00808501
swta_comp_roi_peak_freq,0.008080523
swta_dmn_roi_peak_freq,0.008027524
corr_swta_comp_roi_vs_swta_prod_roi,0.007960087
swta_prod_roi_slope_changes,0.007896348
swta_dmn_roi_complexity,0.007891035
swta_comp_roi_energy,0.007841882
lag2_corr_swta_comp_roi_vs_swta_dmn_roi,0.007833818
swta_comp_roi_slope_changes,0.0077717546
lag3_corr_swta_comp_roi_vs_swta_prod_roi,0.007752567
swta_prod_roi_complexity,0.0075905276
swta_prod_roi_kurtosis,0.007564746
swta_dmn_roi_slope_changes,0.0075248694
lag2_corr_swta_comp_roi_vs_swta_prod_roi,0.007503348
swta_prod_roi_slope,0.007415977
swta_prod_roi_diff_mean,0.0073872977
lag1_corr_swta_comp_roi_vs_swta_dmn_roi,0.0071880715
swta_dmn_roi_kurtosis,0.0071481573
swta_comp_roi_entropy,0.007014878
swta_dmn_roi_diff_mean,0.00682278
swta_comp_roi_slope,0.0066840095
swta_comp_roi_complexity,0.0066708107
swta_comp_roi_diff_mean,0.0066273506
swta_comp_roi_kurtosis,0.0063782595
swta_dmn_roi_slope,0.0054952423
swta_dmn_roi_skew,0.0052737338
swta_prod_roi_peak_freq,0.004175277
swta_comp_roi_fft_power,0.0
swta_prod_roi_fft_power,0.0
swta_dmn_roi_fft_power,0.0
