Feature,Importance
dmn_medial_tpj_mean,0.07408786
prod_vs_comp_combined_mean,0.06845516
dmn_medial_tpj_energy,0.050080262
prod_vs_comp_combined_energy,0.041808043
prod_vs_comp_combined_fft_std,0.0296942
comp_vs_prod_combined_fft_std,0.02508645
dmn_medial_tpj_max,0.023031682
dmn_medial_tpj_fft_std,0.021763498
comp_vs_prod_combined_zcr,0.021102168
dmn_medial_tpj_min,0.019547302
prod_vs_comp_combined_max,0.018821513
prod_vs_comp_combined_min,0.017099887
comp_vs_prod_combined_mean,0.017000614
comp_vs_prod_combined_max,0.01571116
prod_vs_comp_combined_intercept,0.015431058
dmn_medial_tpj_mobility,0.014571666
comp_vs_prod_combined_energy,0.014242523
dmn_medial_tpj_std,0.01411386
comp_vs_prod_combined_min,0.013866581
comp_vs_prod_combined_slope,0.011957728
dmn_medial_tpj_autocorr,0.011676278
lag1_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.011369174
corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.011001163
prod_vs_comp_combined_complexity,0.010841077
dmn_medial_tpj_range,0.010603626
comp_vs_prod_combined_complexity,0.010460691
dmn_medial_tpj_fft_mean,0.01045536
comp_vs_prod_combined_intercept,0.010277395
comp_vs_prod_combined_fft_mean,0.010023011
comp_vs_prod_combined_range,0.010021446
prod_vs_comp_combined_diff2_mean,0.0098704295
prod_vs_comp_combined_autocorr,0.009773872
dmn_medial_tpj_zcr,0.009625344
prod_vs_comp_combined_std,0.009589453
dmn_medial_tpj_slope,0.00927327
lag1_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.009139473
comp_vs_prod_combined_mobility,0.009121889
prod_vs_comp_combined_fft_mean,0.0091117695
corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.009047699
prod_vs_comp_combined_slope,0.008972175
prod_vs_comp_combined_kurtosis,0.008907725
lag1_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.008857087
dmn_medial_tpj_complexity,0.00878334
prod_vs_comp_combined_range,0.008522143
corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.008497722
dmn_medial_tpj_slope_changes,0.0084761
dmn_medial_tpj_diff2_mean,0.008413841
dmn_medial_tpj_kurtosis,0.008332411
comp_vs_prod_combined_slope_changes,0.008301581
lag2_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.008275705
dmn_medial_tpj_diff_mean,0.008183808
comp_vs_prod_combined_skew,0.008111306
dmn_medial_tpj_skew,0.008079356
lag3_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.008072348
prod_vs_comp_combined_skew,0.008045763
dmn_medial_tpj_intercept,0.008019851
prod_vs_comp_combined_mobility,0.007992081
lag3_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.007951419
dmn_medial_tpj_peak_freq,0.007866532
lag2_corr_comp_vs_prod_combined_vs_prod_vs_comp_combined,0.007848826
comp_vs_prod_combined_kurtosis,0.007789614
comp_vs_prod_combined_std,0.0077736266
comp_vs_prod_combined_autocorr,0.0077086505
lag2_corr_dmn_medial_tpj_vs_prod_vs_comp_combined,0.0076522576
comp_vs_prod_combined_diff2_mean,0.0076018563
prod_vs_comp_combined_diff_mean,0.007574655
prod_vs_comp_combined_slope_changes,0.007513187
comp_vs_prod_combined_diff_mean,0.0073998123
prod_vs_comp_combined_peak_freq,0.0071484414
comp_vs_prod_combined_peak_freq,0.0070070913
comp_vs_prod_combined_entropy,0.0067232978
prod_vs_comp_combined_zcr,0.006520672
dmn_medial_tpj_entropy,0.0064550363
lag3_corr_comp_vs_prod_combined_vs_dmn_medial_tpj,0.0064345663
prod_vs_comp_combined_entropy,0.0054304413
comp_vs_prod_combined_fft_power,0.0
prod_vs_comp_combined_fft_power,0.0
dmn_medial_tpj_fft_power,0.0
